vehicle_id,destination,platform_name,predictor_delay_seconds,current_location_hex,destination_location_hex,distance_travel_miles,sin_time,cos_time
16,0,0,2.2419841444615725,40,12,8.797281359274782,-0.004726915787816701,-0.9999888280711614
4,3,9,2.2419841444615725,69,16,0.004529104999392558,-0.004726915787816701,-0.9999888280711614
8,0,9,2.2419841444615725,53,12,0.029188027310104267,-0.004726915787816701,-0.9999888280711614
15,2,6,7.75,39,9,0.0036920937296067357,0.816641555161679,-0.5771451900372335
0,1,4,4.65,48,11,0.7250803381516869,0.796002002534622,-0.6052939880428942
9,10,0,2.2419841444615725,19,13,0.7816350864213394,-0.004726915787816701,-0.9999888280711614
2,21,0,2.2419841444615725,83,18,0.004324574004727584,-0.004726915787816701,-0.9999888280711614
13,8,0,-0.5666666666666667,6,2,0.018169169914528032,0.7906895737438435,-0.6122172800344491
5,21,5,-3.533333333333333,83,18,0.005379860541770691,0.782608156852414,-0.6225146366376194
14,9,0,4.983333333333333,46,10,0.2715777201011044,0.8012538126910607,-0.5983246005706591
3,18,3,2.2419841444615725,25,6,0.43314345759865547,-0.004726915787816701,-0.9999888280711614
10,3,8,2.2419841444615725,69,16,0.0047981322131041265,-0.004726915787816701,-0.9999888280711614
7,7,0,2.6,64,14,0.338216471457859,0.796002002534622,-0.6052939880428942
6,12,4,4.633333333333334,13,5,0.35360414018287295,0.8012538126910607,-0.5983246005706591
1,4,0,0.8,51,3,0.7545605384745997,0.7853169308807448,-0.6190939493098341
12,15,0,-2.466666666666667,56,15,0.8319596859189976,0.7798844830928818,-0.6259234721840591
11,7,4,3.4,60,14,0.1015655067147039,0.798635510047293,-0.601815023152048
7,7,0,2.6,58,14,0.1534898353450378,0.796002002534622,-0.6052939880428942
14,9,0,4.983333333333333,46,10,0.11557147444045272,0.8012538126910607,-0.5983246005706591
15,2,0,2.2419841444615725,40,9,0.19324888240533386,0.7163019434246544,-0.69779045984168
6,12,4,4.633333333333334,14,5,0.1768482211719556,0.8012538126910607,-0.5983246005706591
11,7,4,3.4,58,14,0.03222750536926182,0.798635510047293,-0.601815023152048
1,4,0,0.8,47,3,0.32617994454361776,0.7853169308807448,-0.6190939493098341
3,18,3,2.2419841444615725,25,6,0.2758588173189733,-0.004726915787816701,-0.9999888280711614
12,15,0,-2.466666666666667,67,15,0.5717217889775427,0.7798844830928818,-0.6259234721840591
7,7,0,2.6,58,14,0.030210895880428832,0.796002002534622,-0.6052939880428942
2,13,0,2.2419841444615725,83,19,0.6942508868693472,-0.004726915787816701,-0.9999888280711614
6,12,4,4.633333333333334,20,5,0.011846754520623138,0.8012538126910607,-0.5983246005706591
12,15,0,-2.466666666666667,66,15,0.2932265524913355,0.7798844830928818,-0.6259234721840591
14,9,0,4.983333333333333,43,10,0.007231086090703692,0.8012538126910607,-0.5983246005706591
5,17,5,-4.616666666666666,84,20,1.177488469638152,0.7688418320734596,-0.6394390019805847
2,13,0,2.2419841444615725,89,19,0.45432560766544955,-0.004726915787816701,-0.9999888280711614
0,1,4,4.65,48,11,0.7247951490441488,0.796002002534622,-0.6052939880428942
5,17,5,-4.616666666666666,82,20,1.0731867128443657,0.7688418320734596,-0.6394390019805847
12,15,0,-2.466666666666667,63,15,0.011706095898416048,0.7798844830928818,-0.6259234721840591
3,18,3,2.2419841444615725,23,6,0.16047590332733014,-0.004726915787816701,-0.9999888280711614
